source_path,purpose,source_size_px,alpha_channel,perspective_or_view,support_point,estimated_pivot,direct_use,needed_work,sha256
aviator/animations/frames/propeller-spin/frame-06.png,Separate propeller / spin atlas.,384x384,YES,"Stylized 3D rotor, face-on.",Hub center.,"(0.50, 0.50), visible central hub.",YES as a rotating layer; attach/scale still required.,Atlas must be split into frames; no plane attachment coordinate is baked in.,338c60169e87f32ac054b23a77159712b13989c8716995c25118616b104810b7
aviator/animations/frames/propeller-spin/frame-07.png,Separate propeller / spin atlas.,384x384,YES,"Stylized 3D rotor, face-on.",Hub center.,"(0.50, 0.50), visible central hub.",YES as a rotating layer; attach/scale still required.,Atlas must be split into frames; no plane attachment coordinate is baked in.,4dc6080a986482761989bfde3d26d471fa2505080c2dfaef34dbca02e1045c1b
aviator/animations/previews/crash-sparks.gif,Source artwork or metadata file; see filename and source manifest.,384x384,NO,Not verified.,Not measured.,Not measured.,NO until visually reviewed.,Original retained unchanged.,3d0950376014ae34f953e0b0f857df2ea4abb2c7eb3435b94fbe8b77ab58befe
aviator/animations/previews/engine-glow.gif,Standalone Aviator VFX.,384x384,NO,Effect-only 2D layer.,VFX origin/center; no ground point.,Visual centroid estimate; calibrated placement not supplied.,CONDITIONAL — VFX layer.,"Keep separate from aircraft; tune scale, rotation and attachment in scene.",6caa9e740901d4b77fb62d6cf4ea34f7ab0fdb15e3cdd5189ccc37f2e472013e
aviator/animations/previews/plane-crash-explosion.gif,Source artwork or metadata file; see filename and source manifest.,384x384,NO,Not verified.,Not measured.,Not measured.,NO until visually reviewed.,Original retained unchanged.,df2cb14a6496e5c85c5e0ecfeb77241679dccfbb803f90850f054e25c2ec800c
aviator/animations/previews/propeller-spin.gif,Separate propeller / spin atlas.,384x384,NO,"Stylized 3D rotor, face-on.",Hub center.,"(0.50, 0.50), visible central hub.",YES as a rotating layer; attach/scale still required.,Atlas must be split into frames; no plane attachment coordinate is baked in.,45eff522923b9ee977bc19ef1e38024756b81de0dbd62122e5682de2debc7659
aviator/animations/previews/smoke-trail.gif,Source artwork or metadata file; see filename and source manifest.,384x384,NO,Not verified.,Not measured.,Not measured.,NO until visually reviewed.,Original retained unchanged.,9b9a1f69bbb4e5c83d614833577572c1241202e3483937e555904ae541229ba4
aviator/animations/propeller-spin-atlas.png,Separate propeller / spin atlas.,3072x384,YES,"Stylized 3D rotor, face-on.",Hub center.,"(0.50, 0.50), visible central hub.",YES as a rotating layer; attach/scale still required.,Atlas must be split into frames; no plane attachment coordinate is baked in.,2ff41d45bbf9977233c7a21fe80528f33b61d7eaba0f44cb80c1e65854eaa551
aviator/backgrounds/mountain-ridge-layer-reconstruction.png,Reconstructed Aviator mountain background layer.,2126x740,YES,2D layered silhouette / parallax plane.,No physical contact.,Bottom-center baseline; coordinates require parallax calibration.,CONDITIONAL — background layer only.,Only one reconstructed ridge; no sky/foreground layer pair.,40021d5d38e9bf9f57ef9ec5bfad244fd457dc5a045d99e72c77cf3f1984bfc2
aviator/effects-vfx/README.md,Documentation or source metadata.,N/A,N/A,N/A,N/A,N/A,NO — documentation.,"Read for provenance, known limitations and player roster.",
aviator/effects-vfx/after-crash-smoke.png,Standalone Aviator VFX.,384x384,YES,Effect-only 2D layer.,VFX origin/center; no ground point.,Visual centroid estimate; calibrated placement not supplied.,CONDITIONAL — VFX layer.,"Keep separate from aircraft; tune scale, rotation and attachment in scene.",28a271470fa5afa1cc6a556686d70b56fa820f458f23de1fe75b2cb3fd3b1d54
aviator/effects-vfx/crash-flash.png,Standalone Aviator VFX.,384x384,YES,Effect-only 2D layer.,VFX origin/center; no ground point.,Visual centroid estimate; calibrated placement not supplied.,CONDITIONAL — VFX layer.,"Keep separate from aircraft; tune scale, rotation and attachment in scene.",603d78c000106f02c91738cae3534772ab059572eeeab47f8f906970005a48f5
aviator/effects-vfx/crash-sparks-atlas.png,VFX/animation atlas or frame sequence.,2304x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,71836a766bad2f060d9dd13e406540234c13d1b7e82f358b066c29dceec7ccab
aviator/effects-vfx/ember-spark.png,Standalone Aviator VFX.,384x384,YES,Effect-only 2D layer.,VFX origin/center; no ground point.,Visual centroid estimate; calibrated placement not supplied.,CONDITIONAL — VFX layer.,"Keep separate from aircraft; tune scale, rotation and attachment in scene.",b0a17071741510b691532a61a57151fecb341ed5db42ce718b056b270c39283c
aviator/effects-vfx/engine-glow-atlas.png,VFX/animation atlas or frame sequence.,2304x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,f92ea65ceeb97aa8dc65fe3db8860f3b0590cce8563eeff4853cd9c5c7cc6757
aviator/effects-vfx/engine-glow.png,Standalone Aviator VFX.,384x384,YES,Effect-only 2D layer.,VFX origin/center; no ground point.,Visual centroid estimate; calibrated placement not supplied.,CONDITIONAL — VFX layer.,"Keep separate from aircraft; tune scale, rotation and attachment in scene.",b0f6f8ca3f04f74b308b5b8cff035033befba68f73fd6d010129b42d3f097891
aviator/effects-vfx/frames/crash/frame-00.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,043c7bed4c1b0db015a84897c85caca0646e3552dbbc52682427e30065458ffa
aviator/effects-vfx/frames/crash/frame-01.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,603d78c000106f02c91738cae3534772ab059572eeeab47f8f906970005a48f5
aviator/effects-vfx/frames/crash/frame-02.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,e8cf01d34e9a5b971300b5ef93011464536dc3820c7738fa1d95dee6e595f929
aviator/effects-vfx/frames/crash/frame-03.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,77347032bde804f84ebe5e18db4f61e25dc244ec45a72ba1591dc75949d4a03a
aviator/effects-vfx/frames/crash/frame-04.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,ea0c2f54ed81dc133cd0b54d42c8d8f8253a7e4648833855eedd470bad36855d
aviator/effects-vfx/frames/crash/frame-05.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,28646cf045485c0900d458c62c2943a29acc950a16954e63fc3eaa02ae894140
aviator/effects-vfx/frames/crash/frame-06.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,28a271470fa5afa1cc6a556686d70b56fa820f458f23de1fe75b2cb3fd3b1d54
aviator/effects-vfx/frames/crash/frame-07.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,7c6f87cbb94d4330cc715287b53fdc7ce79667294115962a006a7a60601872db
aviator/effects-vfx/frames/engine-glow/frame-00.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,85d004acef80884b8748d2baaf6b86848dc8b7f4a866879be8bb5bc499eab41e
aviator/effects-vfx/frames/engine-glow/frame-01.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,a058c2920f47253b338be7baba8a516bc45a4baf3780c18ac126c6d936e09b56
aviator/effects-vfx/frames/engine-glow/frame-02.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,fed32c1ca482f3f970832e0fb66625f586f9172e6e6a7edfcc2ca9d20cf827bd
aviator/effects-vfx/frames/engine-glow/frame-03.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,b0f6f8ca3f04f74b308b5b8cff035033befba68f73fd6d010129b42d3f097891
aviator/effects-vfx/frames/engine-glow/frame-04.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,fed32c1ca482f3f970832e0fb66625f586f9172e6e6a7edfcc2ca9d20cf827bd
aviator/effects-vfx/frames/engine-glow/frame-05.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,a058c2920f47253b338be7baba8a516bc45a4baf3780c18ac126c6d936e09b56
aviator/effects-vfx/frames/smoke/frame-00.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,d2c2be998efed8242333b166c932b9940138d95c971fce23af167ad9e99faf89
aviator/effects-vfx/frames/smoke/frame-01.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,118047b76fa3bb322d3c9a9e7689cc8048c499b1851e80e175b212b7dc82119f
aviator/effects-vfx/frames/smoke/frame-02.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,de6edd1751be4b36176771006faa721e1f97ed772199f9271348d2d77ac4316c
aviator/effects-vfx/frames/smoke/frame-03.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,c383280a289bc974e2354f1160ee72b1c8d527df5a2d16f6d57f1f8ed0b74a7a
aviator/effects-vfx/frames/smoke/frame-04.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,74f7e411f14956f405a2f65e5683eb9544e531bc21ad518dd0457980df71fb88
aviator/effects-vfx/frames/smoke/frame-05.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,9f30e8c66a4e6040203e624281a0c3aa569f825d58c94011a2126413b86f4d8d
aviator/effects-vfx/frames/sparks/frame-00.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,58eef9f4455dcb712ee134c0e203b1c17d93c7a4f7680fd6b16ad922b091227a
aviator/effects-vfx/frames/sparks/frame-01.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,80fa6f03caf8e2c18d87d98022e2d561a7b6c0f89f8d65060bb838553f0092fe
aviator/effects-vfx/frames/sparks/frame-02.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,fc31e8dc86a60ca8044fc7789de738ff52790be959fe8996b17cd5c2defa9285
aviator/effects-vfx/frames/sparks/frame-03.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,80cc53bd299d50912a091972dc4853339485ebed495fc9af1dfbb617f1bcb196
aviator/effects-vfx/frames/sparks/frame-04.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,b0a17071741510b691532a61a57151fecb341ed5db42ce718b056b270c39283c
aviator/effects-vfx/frames/sparks/frame-05.png,VFX/animation atlas or frame sequence.,384x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,7223e1f6fd567be7ed2bcaaa37eb414905d448bd28c3b228397bf68b089263a0
aviator/effects-vfx/plane-crash-explosion-atlas.png,VFX/animation atlas or frame sequence.,3072x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,8e6381dc0c213aa9d71ad52de3e6611c49f2d5e438020cb16f80904942f13963
aviator/effects-vfx/smoke-trail-atlas.png,VFX/animation atlas or frame sequence.,2304x384,YES,Effect-only sprite view; no physical camera.,Effect-specific center/impact origin.,Atlas cell center unless source metadata says otherwise; effect origin needs calibration.,CONDITIONAL — split/select frames and position in scene.,Do not place full atlas as one sprite; alpha bounds vary across animation.,0f35e63d713750b404811dea0602a9442ebc1aed70e7569af5575e2f377f1877
aviator/effects-vfx/trail-segment.png,Standalone Aviator VFX.,1024x256,YES,Effect-only 2D layer.,VFX origin/center; no ground point.,Visual centroid estimate; calibrated placement not supplied.,CONDITIONAL — VFX layer.,"Keep separate from aircraft; tune scale, rotation and attachment in scene.",8145032d8b263dd6ea8bbffc203e2848feed1440164c2754cef44deaef9815a8
aviator/models/plane-body.png,Isolated Aviator aircraft body.,955x650,YES,"Stylized glossy 3D side/three-quarter, nose upper-right.",No ground contact; aircraft center.,"Approximate body center (0.50, 0.53); nose/prop mount estimates only.",CONDITIONAL — after scale and propeller alignment.,No moving parts; attach propeller and engine FX using scene-calibrated anchors.,13c9358df40a0e91ab851091ef495c53fc24212dd56f5fbeabb0c94867dd6ffe
aviator/models/propeller.png,Separate propeller / spin atlas.,650x573,YES,"Stylized 3D rotor, face-on.",Hub center.,"(0.50, 0.50), visible central hub.",YES as a rotating layer; attach/scale still required.,Atlas must be split into frames; no plane attachment coordinate is baked in.,c314d86f98ff825065811d1e1dd8a039e987ab568787ffff6a6a7ce6832c3abd
aviator/sources/plane-and-propeller-source.png,Combined aircraft/propeller source plate.,1977x795,YES,"Stylized 3D side/three-quarter, aircraft heading upper-right.",Plane approximate body center; propeller hub center.,"Plane center and propeller hub separate; split already exported, original combined plate not for runtime.",NO — source plate only.,"Use split plane-body and propeller files; calibrate nose mount, scale and trail in scene.",080523af51d325ae6d47d0203ee3cf7e690991127f78dcb100448af2f177eb51
chicken/models/chick-idle-reconstruction.png,"Chicken Road chick, one reconstructed idle pose.",1241x1268,YES,"Polished 3D cartoon, front three-quarter.",Two feet; approximate ground line near y=0.82.,"Ground point approx (0.50, 0.82); not calibrated to tile.",ONLY idle/concept pose.,Needs authored jump/land/fail/success poses and separate shadow; reconstruction has no supplied Chicken reference.,f3057032f1995e7c610e849e9d00d96220152f76c8fb3f15a97ffb330e10beb4
chicken/obstacles/traffic-van-reconstruction.png,Chicken Road traffic obstacle.,1426x1103,YES,"Polished 3D cartoon, front three-quarter with visible right side.","Wheel contact line, approx y=0.87.","Ground midpoint approx (0.50, 0.87).",CONDITIONAL — calibrate lane scale.,"Single view; road perspective, alternate traffic and shadow absent.",580b0cbb96b5cc196c8d064923e2060ef2fa8dc38f57c1ecb8a60602ca799ab1
football/concepts/goalkeeper-green-unassigned.png,Generic unassigned Football keeper concept.,1024x1536,YES,"Frontal 3D human render, shallow perspective.",Both shoe soles.,"Foot midpoint approx (0.50, 0.98).",NO for match/player identity; concept only.,No rig or separate parts; no named identity; animation is whole-image transform.,72247a336e65fd3e5d5ebe9a022cb94f796bfa2f410b3a32b57ea7fe7d06355e
gems/references/approved-mines-scene.png,Approved Mines game UI screenshot.,1153x693,YES,Near-frontal cell/UI screen composition.,N/A — screenshot.,N/A,NO — reference only; an existing crop was used in clips.,"Contains UI framing; requires clean isolated replacement tile, gem and mine assets.",c8751105ff04db4842fb4e83b93c1df92133fb9d262272e47a77b14559c214cc
missing-assets.md,Documentation or source metadata.,N/A,N/A,N/A,N/A,N/A,NO — documentation.,"Read for provenance, known limitations and player roster.",
players.json,Documentation or source metadata.,N/A,N/A,N/A,N/A,N/A,NO — documentation.,"Read for provenance, known limitations and player roster.",
previews/aviator-vfx-contact-sheet.jpg,QA/contact-sheet preview.,1408x880,NO,Flattened inspection layout.,N/A,N/A,NO — preview only.,Contains labels/background/compositing; never use as in-game art.,b8e57720ea226440d15b950c56428418a266841b8419c86710c75076f596b161
previews/contact-sheet.jpg,QA/contact-sheet preview.,1600x1080,NO,Flattened inspection layout.,N/A,N/A,NO — preview only.,Contains labels/background/compositing; never use as in-game art.,829f8a4f2e049677ad286b8c2e6559c963e8c84a1b6aaf2366f2d8bec89c3fb2
previews/initial-alpha-review.jpg,QA/contact-sheet preview.,1330x1520,NO,Flattened inspection layout.,N/A,N/A,NO — preview only.,Contains labels/background/compositing; never use as in-game art.,74dcb13a9104724e373078ee859ac29c22d58876db04403a960d8e81c46f432a
previews/transparency-check-v0.2.jpg,QA/contact-sheet preview.,1600x1200,NO,Flattened inspection layout.,N/A,N/A,NO — preview only.,Contains labels/background/compositing; never use as in-game art.,97ef16078d31ecfb13ebd6ca88baf1a1c605edab73828ac69e44240a4515f5fa
previews/transparency-check.jpg,QA/contact-sheet preview.,1250x2730,NO,Flattened inspection layout.,N/A,N/A,NO — preview only.,Contains labels/background/compositing; never use as in-game art.,d53d696521b0646a65ca1a2dcb2c12dac556cb27ac3b46afcd7d3ca4b45aaedf
reference-map.md,Documentation or source metadata.,N/A,N/A,N/A,N/A,N/A,NO — documentation.,"Read for provenance, known limitations and player roster.",
sources/references/063d426e-9c2d-4f99-9845-0f8067a0cfb0(4).png,Supplied gameplay/UI screenshot reference; use to judge appearance only.,1277x449,NO,"Captured game-screen composition; may contain UI, text, multiple layers and perspective scaling.","N/A — reference screen, not an isolated object.",N/A,NO — reference only; do not load as a sprite.,Use for palette/shape/layout evidence; extract and rebuild individual layers only.,b363a6792dd3e389cac458585306fb8094498f311593ccc86d494a1f62a79771
sources/references/75899b15-df30-40f7-b5be-f0ba70256843(4).png,Supplied gameplay/UI screenshot reference; use to judge appearance only.,1920x920,NO,"Captured game-screen composition; may contain UI, text, multiple layers and perspective scaling.","N/A — reference screen, not an isolated object.",N/A,NO — reference only; do not load as a sprite.,Use for palette/shape/layout evidence; extract and rebuild individual layers only.,7d2f5192e9a23db95e90058fde4635f017c0c0e87d54b304ce6311899536423d
sources/references/9ec14a85-edf5-4b53-8d53-53de7e0bba8c(4).png,Supplied gameplay/UI screenshot reference; use to judge appearance only.,1156x449,YES,"Captured game-screen composition; may contain UI, text, multiple layers and perspective scaling.","N/A — reference screen, not an isolated object.",N/A,NO — reference only; do not load as a sprite.,Use for palette/shape/layout evidence; extract and rebuild individual layers only.,2764a08d9115508f3eae57910a51dcaa90f98816081c2d2fdbe5fe7fb0a80d27
sources/references/aaaca61a-5a7a-47b8-8e19-a67a8cd16d58(4).png,Supplied gameplay/UI screenshot reference; use to judge appearance only.,1835x840,YES,"Captured game-screen composition; may contain UI, text, multiple layers and perspective scaling.","N/A — reference screen, not an isolated object.",N/A,NO — reference only; do not load as a sprite.,Use for palette/shape/layout evidence; extract and rebuild individual layers only.,480b601c75c1256c6560db570638b0232ec344da03a2c8799edb73950b97521d
sources/references/b28b0175-6ebe-4ee9-a873-8146cab2cc34(4).png,Supplied gameplay/UI screenshot reference; use to judge appearance only.,1265x440,NO,"Captured game-screen composition; may contain UI, text, multiple layers and perspective scaling.","N/A — reference screen, not an isolated object.",N/A,NO — reference only; do not load as a sprite.,Use for palette/shape/layout evidence; extract and rebuild individual layers only.,b12d3186e7c7cc6bb0262beaba3e0962a52b47f1882761d1106144fbd4da1052
